Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Convomf,@convomf,2023-10-15T03:46:34.000Z,True, Toxic positivity kah? What do you think?,"1,264","3,012",32.1K,2M,[],[],['\\U0001f4ad'],https://pbs.twimg.com/profile_images/1563874537254813696/MYewW2S6_normal.png,https://twitter.com/convomf/status/1713400949769916918,tweet_id:1713400949769916918
Positive Vibes,@Positvevbs,2023-10-15T04:18:17.000Z,True,This!,"1,553","2,645",11.7K,473K,[],[],[],https://pbs.twimg.com/profile_images/1669751676646088704/fbivGkB8_normal.jpg,https://twitter.com/Positvevbs/status/1713408931463409695,tweet_id:1713408931463409695
PlayStation,@PlayStation,2023-10-14T15:15:54.000Z,True,"Lizard's claws clash with Peter's Black Suit in Marvel's #SpiderMan2PS5 on Oct 20.

The showdown is just 6 days away",217,"1,440",13.3K,2.6M,['#SpiderMan2PS5'],[],[],https://pbs.twimg.com/profile_images/1278183948279922690/ybnDHXn7_normal.jpg,https://twitter.com/PlayStation/status/1713212037075988914,tweet_id:1713212037075988914
Minecraft,@Minecraft,2023-10-15T17:36:31.000Z,True,"Mob Vote update:

The penguin has come in 3rd place!

Stay tuned to #MinecraftLive to find out if the crab or armadillo will join Minecraft!","2,146","2,867",28.4K,2.5M,['#MinecraftLive'],[],[],https://pbs.twimg.com/profile_images/1559209238076919809/H57ucjs2_normal.jpg,https://twitter.com/Minecraft/status/1713609813643722808,tweet_id:1713609813643722808
Eza Hazami,@ezash,2023-10-15T08:58:52.000Z,True,"Lagi pada main game PC apa? Ada yg seru banget ga yg lagi kalian mainin?

Komen dong, lagi butuh main game baru nih. Yg ada di Steam dah pada tamat ",264,23,220,105.5K,[],[],['\\U0001f604'],https://pbs.twimg.com/profile_images/1698562140301635584/W2I1F_ti_normal.jpg,https://twitter.com/ezash/status/1713479541702971488,tweet_id:1713479541702971488
PlayStation,@PlayStation,2023-10-15T16:02:20.000Z,True,"We can fight this together.

Marvel's Spider-Man 2 launches Oct 20. Tune your Spidey-Senses with the action-packed launch trailer.",526,"4,848",19K,2.1M,[],[],[],https://pbs.twimg.com/profile_images/1278183948279922690/ybnDHXn7_normal.jpg,https://twitter.com/PlayStation/status/1713586110671053295,tweet_id:1713586110671053295
GIVEAWAY ON PINNED,@ohmybeautybank,2023-10-15T04:25:34.000Z,True,seluruh dunia HARUS nyobain body lotion ini soalnya WAAAANGIIII BGGTTTTTT longlasting parah sampe tiap pake ini aku selalu dipuji sm org saking semerbaknya  [bb],44,476,"3,604",237.8K,[],[],['\\U0001f979'],https://pbs.twimg.com/profile_images/1357219671133458433/z_fR2ym7_normal.jpg,https://twitter.com/ohmybeautybank/status/1713410764709802448,tweet_id:1713410764709802448
Starfess || Kirim menfess di Tele,@starfess,2023-10-15T08:12:01.000Z,False,-star Sumpil aneh bgt  seumur-umur ga pernah bayangin idol kpop ketemu artis dangdut trus ada logo indosiar ,834,"2,811",22.8K,1.9M,[],[],"['\\U0001f62d', '\\U0001f64f\\U0001f3fb', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1474583820028366851/FSCdP3ED_normal.jpg,https://twitter.com/starfess/status/1713467754345550022,tweet_id:1713467754345550022
PlayStation,@PlayStation,2023-10-14T17:15:00.000Z,True,"Revealing the Logitech G Adaptive Gaming Kit for Access controller, developed in collaboration with SIE and the accessibility community.

First details on the added customization options: http://play.st/3ZSC0Cw",92,436,"3,419",1M,[],[],[],https://pbs.twimg.com/profile_images/1278183948279922690/ybnDHXn7_normal.jpg,https://twitter.com/PlayStation/status/1713242009400709550,tweet_id:1713242009400709550
Pop Base,@PopBase,2023-10-16T01:29:07.000Z,True,"Katy Perry comments on photos of Taylor Swift and Travis Kelce:

“I ship”",200,997,11.8K,609.1K,[],[],[],https://pbs.twimg.com/profile_images/1268086791443230737/BRGz4AiW_normal.jpg,https://twitter.com/PopBase/status/1713728746052882572,tweet_id:1713728746052882572
pocomnkg,@mhdarieff_,2023-10-15T14:00:31.000Z,True,Waduhh,21,639,"2,473",71.4K,[],[],[],https://pbs.twimg.com/profile_images/1650108460305096704/nyHqdC6s_normal.jpg,https://twitter.com/mhdarieff_/status/1713555453249294719,tweet_id:1713555453249294719
PlayStation,@PlayStation,2023-10-15T20:00:00.000Z,True,"  Five suits to add to your Miles Morales wardrobe with the Marvel's Spider-Man 2 Digital Deluxe Edition, arriving in just five days:  Tokusatsu Suit  EnC0ded Suit  Agimat Suit  Red Spectre Suit  Biomechanical Suit",104,348,"2,711",659.4K,[],[],"['\\U0001f440', '1\\u20e3', '2\\u20e3', '3\\u20e3', '4\\u20e3', '5\\u20e3']",https://pbs.twimg.com/profile_images/1278183948279922690/ybnDHXn7_normal.jpg,https://twitter.com/PlayStation/status/1713645923278970985,tweet_id:1713645923278970985
𝑓.,@momentsofence,2023-10-15T10:21:07.000Z,True,matcha and butterflies ,314,13.1K,91.5K,3.1M,[],[],['\\U0001f98b'],https://pbs.twimg.com/profile_images/1659903464271478784/vq-a1mLk_normal.jpg,https://twitter.com/momentsofence/status/1713500240290955497,tweet_id:1713500240290955497
.,@dotinglyricism,2023-10-15T15:30:00.000Z,True,a love language.,243,27.2K,163.5K,6.5M,[],[],[],https://pbs.twimg.com/profile_images/1387964824319975427/vqpFNbvj_normal.jpg,https://twitter.com/dotinglyricism/status/1713577975462215810,tweet_id:1713577975462215810
Spotify,@Spotify,2023-10-15T19:32:54.000Z,True,"THIS IS WHAT I WANT TO SEE! A special message to Beyoncé from the iconic voice of the Renaissance World Tour, .",40,780,"2,830",249.3K,[],['@kevinjzprodigy'],[],https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2_normal.jpg,https://twitter.com/Spotify/status/1713639101654577451,tweet_id:1713639101654577451
Fiersa Besari,@FiersaBesari,2023-10-15T10:40:04.000Z,True,"Jangan mati dulu. Nanti hidup bakal seru, sayang kalau kamu enggak ada ",346,"5,651",17.9K,861.8K,[],[],['\\U0001f90d'],https://pbs.twimg.com/profile_images/1609435754425638912/M3CwJmT-_normal.jpg,https://twitter.com/FiersaBesari/status/1713505011601461436,tweet_id:1713505011601461436
Virtual Footballers,@virtualballers,2023-10-15T03:27:14.000Z,True,Sepakat kah kalian kalau PES 2021 adalah seri PES terbaik Konami?,354,295,"1,811",295.9K,[],[],[],https://pbs.twimg.com/profile_images/1677011643920965633/L5LfAJZH_normal.jpg,https://twitter.com/virtualballers/status/1713396086017290402,tweet_id:1713396086017290402
The Game Awards,@thegameawards,2023-10-15T16:41:41.000Z,True,What’s been the most surprising game you’ve played in 2023 so far?,755,197,"1,169",317.4K,[],[],[],https://pbs.twimg.com/profile_images/1698776220823920640/IOa7YKmp_normal.jpg,https://twitter.com/thegameawards/status/1713596014328738303,tweet_id:1713596014328738303
DomTheBomb,@DomTheBombYT,2023-10-15T22:15:00.000Z,True,Metacritic Score Predictions for Spider-Man 2 ,302,114,"2,383",124.9K,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1575673528476749824/25nIuI5t_normal.jpg,https://twitter.com/DomTheBombYT/status/1713679894792618389,tweet_id:1713679894792618389
Mike | Valorant Leaks & News,@ValorLeaks,2023-10-15T15:12:26.000Z,True,New Agent Teaser #1 | #VALORANT,243,"1,127",14.3K,1.4M,['#VALORANT'],[],['\\U0001f504'],https://pbs.twimg.com/profile_images/1518269221343485952/_jRndSMI_normal.png,https://twitter.com/ValorLeaks/status/1713573555214971316,tweet_id:1713573555214971316
PC Gamer,@pcgamer,2023-10-14T10:00:18.000Z,True,Which games will you be playing this weekend?,151,16,128,102.5K,[],[],[],https://pbs.twimg.com/profile_images/877980023025803270/xntVDuTq_normal.jpg,https://twitter.com/pcgamer/status/1713132614448496809,tweet_id:1713132614448496809
Dexerto,@Dexerto,2023-10-15T17:08:00.000Z,True,This is the most Looney Tunes theft to ever exist,480,"4,158",52.4K,4.6M,[],[],[],https://pbs.twimg.com/profile_images/1538912754555408385/bbTCYAck_normal.jpg,https://twitter.com/Dexerto/status/1713602635742560433,tweet_id:1713602635742560433
,@bellahadid,2023-10-14T23:09:41.000Z,False,“I’m not afraid to lose modeling jobs & I will continue to speak up on Palestine” — Bella Hadid #FreePalestine,"1,357",62.9K,306.7K,18.6M,['#FreePalestine'],[],[],https://pbs.twimg.com/profile_images/1712531697525309440/rG-MTWGr_normal.jpg,https://twitter.com/bellahadid/status/1713331271277973838,tweet_id:1713331271277973838
KEEM,@KEEMSTAR,2023-10-15T02:26:02.000Z,True,"Actually Dillion Danis should have won the fight. Team Logan Paul had people coming into the ring during the fight even before the last round. 

That’s an instant disqualification for team Logan Paul!","2,088","1,141",31.9K,5.8M,[],[],[],https://pbs.twimg.com/profile_images/1486406495264772103/2HvLEoJz_normal.jpg,https://twitter.com/KEEMSTAR/status/1713380684402766238,tweet_id:1713380684402766238
Poem Heaven,@PoemHeaven,2023-10-15T17:40:46.000Z,True,i swear..,99,"5,346",21.8K,1.1M,[],[],[],https://pbs.twimg.com/profile_images/1582359892693762049/XXEwWLiU_normal.jpg,https://twitter.com/PoemHeaven/status/1713610882859868671,tweet_id:1713610882859868671
indie,@INDIEWASHERE,2023-10-15T01:25:41.000Z,False,Disney just donated 1 million to a state that’s beheading innocent children,667,28.1K,160.7K,13.6M,[],[],[],https://pbs.twimg.com/profile_images/1713096696819830784/fPC_247t_normal.jpg,https://twitter.com/INDIEWASHERE/status/1713365494764364252,tweet_id:1713365494764364252
